290,"005	3",975,1
290,"005	4",111,2
290,"005	4",170,3
290,"005	4",194,4
290,"294	4",214,5
290,"005	4",229,6
290,"584	4",238,7
291,"163	4",238,8
291,"163	4",243,9
290,"584	4",243,10
290,"874	4",248,11
290,"584	4",243,12
290,"874	4",248,13
290,"294	4",238,14
290,"874	4",248,15
290,"584	4",238,16
290,"294	4",233,17
290,"294	4",224,18
290,"005	4",224,19
290,"294	4",224,20
290,"005	4",219,21
290,"584	4",238,22
290,"294	4",233,23
290,"584	4",238,24
290,"584	4",233,25
290,"584	4",233,26
290,"294	4",229,27
290,"584	4",229,28
290,"294	4",229,29
290,"294	4",229,30
290,"005	4",224,31
290,"294	4",233,32
290,"584	4",233,33
290,"005	4",229,34
290,"874	4",233,35
291,"163	4",238,36
290,"005	4",229,37
290,"005	4",224,38
290,"294	4",229,39
290,"584	4",229,40
290,"294	4",229,41
290,"874	4",233,42
290,"005	4",224,43
290,"294	4",229,44
289,"715	4",224,45
290,"005	4",224,46
290,"005	4",224,47
290,"005	4",224,48
290,"005	4",224,49
290,"584	4",229,50
290,"294	4",229,51
290,"294	4",229,52
290,"005	4",229,53
290,"294	4",233,54
290,"294	4",233,55
290,"584	4",238,56
290,"294	4",238,57
290,"874	4",238,58
290,"584	4",233,59
289,"715	4",233,60
289,"715	4",233,61
290,"005	4",238,62
290,"005	4",229,63
289,"715	4",233,64
289,"715	4",229,65
289,"715	4",233,66
291,"163	4",233,67
289,"426	4",229,68
289,"715	4",229,69
290,"005	4",229,70
289,"715	4",229,71
290,"294	4",233,72
289,"715	4",229,73
289,"715	4",229,74
290,"294	4",233,75
290,"584	4",243,76
290,"294	4",238,77
289,"715	4",229,78
290,"294	4",229,79
289,"715	4",229,80
289,"715	4",229,81
289,"715	4",224,82
290,"005	4",224,83
289,"715	4",224,84
290,"584	4",238,85
290,"005	4",224,86
290,"005	4",224,87
289,"715	4",224,88
290,"005	4",229,89
290,"005	4",224,90
290,"294	4",233,91
290,"005	4",224,92
290,"294	4",233,93
290,"294	4",238,94
290,"584	4",233,95
290,"874	4",233,96
290,"294	4",229,97
290,"005	4",233,98
289,"715	4",233,99
289,"715	4",233,100
290,"005	4",233,101
289,"715	4",229,102
289,"715	4",233,103
290,"005	4",229,104
290,"005	4",229,105
289,"715	4",224,106
289,"426	4",219,107
289,"715	4",219,108
289,"136	4",214,109
289,"136	4",209,110
289,"136	4",209,111
289,"426	4",209,112
288,"847	4",204,113
288,"267	4",199,114
287,"978	4",194,115
288,"847	4",214,116
287,"978	4",204,117
288,"267	4",204,118
287,"399	4",194,119
287,"978	4",194,120
287,"109	4",185,121
287,"109	4",180,122
286,"819	4",175,123
287,"109	4",180,124
286,"819	4",170,125
286,"819	4",165,126
286,"819	4",165,127
286,"240	4",160,128
286,"530	4",160,129
286,"240	4",160,130
285,"951	4",150,131
286,"240	4",150,132
286,"240	4",150,133
285,"951	4",150,134
285,"951	4",141,135
285,"951	4",150,136
285,"082	4",141,137
284,"503	4",136,138
284,"503	4",136,139
284,"503	4",126,140
284,"792	4",136,141
284,"213	4",126,142
284,"213	4",121,143
283,"923	4",116,144
283,"923	4",116,145
284,"213	4",106,146
284,"213	4",106,147
283,"923	4",116,148
283,"055	4",106,149
283,"055	4",102,150
283,"055	4",102,151
283,"055	4",97,152
283,"055	4",102,153
283,"344	4",106,154
282,"476	4",97,155
283,"344	4",97,156
282,"476	4",92,157
281,"896	4",92,158
282,"476	4",97,159
282,"186	4",87,160
281,"896	4",82,161
281,"607	4",77,162
281,"896	4",77,163
282,"186	4",77,164
281,"896	4",72,165
281,"607	4",72,166
281,"317	4",72,167
281,"317	4",72,168
281,"317	4",72,169
281,"028	4",67,170
280,"738	4",62,171
280,"738	4",62,172
281,"317	4",67,173
280,"738	4",62,174
